,Date,Country,Cum # of Cases,Cum # of Deaths,Cum # Recovered,# of Cases,# of Deaths,# Recovered,Day,Day of Month,Month,Month Name
265,2003-04-29,Viet Nam,69.0,5.0,53.0,0.0,0.0,0.0,44,29,4,April
266,2003-04-30,Canada,149.0,21.0,87.0,2.0,0.0,1.0,45,30,4,April
267,2003-04-30,China,3460.0,159.0,1332.0,157.0,11.0,10.0,45,30,4,April
268,2003-04-30,Hong Kong,1589.0,157.0,791.0,17.0,7.0,32.0,45,30,4,April
269,2003-04-30,Singapore,201.0,24.0,139.0,0.0,0.0,0.0,45,30,4,April
270,2003-04-30,Taiwan,80.0,1.0,25.0,12.0,1.0,0.0,45,30,4,April
271,2003-04-30,United States,236.0,0.0,0.0,11.0,0.0,0.0,45,30,4,April
272,2003-04-30,Viet Nam,69.0,5.0,53.0,0.0,0.0,0.0,45,30,4,April
273,2003-05-01,Canada,149.0,21.0,87.0,0.0,0.0,0.0,46,1,5,May
274,2003-05-01,China,3638.0,170.0,1351.0,178.0,11.0,19.0,46,1,5,May
275,2003-05-01,Hong Kong,1600.0,162.0,834.0,11.0,5.0,43.0,46,1,5,May
276,2003-05-01,Singapore,201.0,25.0,143.0,0.0,1.0,4.0,46,1,5,May
277,2003-05-01,Taiwan,91.0,3.0,25.0,11.0,2.0,0.0,46,1,5,May
278,2003-05-01,United States,238.0,0.0,23.0,2.0,0.0,23.0,46,1,5,May
279,2003-05-01,Viet Nam,69.0,5.0,56.0,0.0,0.0,3.0,46,1,5,May
280,2003-05-02,Canada,151.0,23.0,93.0,2.0,2.0,6.0,47,2,5,May
281,2003-05-02,China,3799.0,181.0,1372.0,161.0,11.0,21.0,47,2,5,May
282,2003-05-02,Hong Kong,1611.0,170.0,878.0,11.0,8.0,44.0,47,2,5,May
283,2003-05-02,Singapore,203.0,25.0,146.0,2.0,0.0,3.0,47,2,5,May
284,2003-05-02,Taiwan,102.0,8.0,25.0,11.0,5.0,0.0,47,2,5,May
285,2003-05-02,United States,240.0,0.0,24.0,2.0,0.0,1.0,47,2,5,May
286,2003-05-02,Viet Nam,69.0,5.0,56.0,0.0,0.0,0.0,47,2,5,May
287,2003-05-03,Canada,151.0,23.0,94.0,0.0,0.0,1.0,48,3,5,May
288,2003-05-03,China,3971.0,190.0,1406.0,172.0,9.0,34.0,48,3,5,May
289,2003-05-03,Hong Kong,1621.0,179.0,898.0,10.0,9.0,20.0,48,3,5,May
290,2003-05-03,Singapore,203.0,25.0,147.0,0.0,0.0,1.0,48,3,5,May
291,2003-05-03,Taiwan,102.0,8.0,25.0,0.0,0.0,0.0,48,3,5,May
292,2003-05-03,United States,240.0,0.0,24.0,0.0,0.0,0.0,48,3,5,May
293,2003-05-03,Viet Nam,69.0,5.0,58.0,0.0,0.0,2.0,48,3,5,May
